;filter_conv_1;kernel_conv_1;filter_conv_2;kernel_conv_2;filter_conv_3;kernel_conv_3;batchnorm_1;batchnorm_2;batchnorm_3;batchnorm_4;n_dense;batch_size;best_val_acc
0;64;5;128;3;256;3;0.9468529332676826;0.7196109409121522;0.7053455845411682;0.9535089629421972;128;256;0.8224999904632568
1;32;3;64;3;256;5;0.8491167844627737;0.7202971298035145;0.9898804311698126;0.7033319304154245;256;64;0.8169000148773193
2;32;5;128;3;256;3;0.8410000438151318;0.8908543050844997;0.9134274256235904;0.8687144517269564;256;128;0.7991999983787537
3;32;3;64;5;256;5;0.7656624799722976;0.7769031676975944;0.7361945823105148;0.7480750404243613;128;128;0.8105999827384949
4;32;3;128;5;256;5;0.9442716748388452;0.938114720866043;0.9509284217745926;0.9859821741016108;256;64;0.8353000283241272
5;64;5;128;3;128;3;0.9783748952935664;0.9661283617546376;0.7615717767770478;0.8280155513966286;256;256;0.8212000131607056
6;64;5;128;3;128;3;0.7042492281185171;0.8211727068890841;0.9307015592387692;0.9865971248997432;64;64;0.8201000094413757
7;64;3;64;5;128;5;0.7151739066802804;0.9676124946168064;0.7632989816233228;0.7879813065898476;128;256;0.8245000243186951
8;64;5;64;5;256;3;0.990153745564638;0.9524226700310736;0.9487730368541536;0.8986144478976189;256;64;0.7911000251770021
9;32;5;64;5;128;5;0.8320367201292127;0.9666614919348934;0.8105928469529593;0.8152196096609384;64;128;0.7918999791145325
10;32;5;64;3;256;3;0.9407723937695848;0.8850601458618751;0.9700058247015336;0.8587974772337317;256;128;0.7882000207901001
11;64;5;128;3;256;3;0.9035059754964264;0.9326326461119804;0.7653181990507921;0.7956983303578222;64;128;0.8144000172615051
12;64;3;128;5;128;5;0.9115987728611682;0.8221434437884795;0.8293460502151562;0.9451256033862896;256;128;0.8256000280380249
13;64;5;64;5;128;3;0.8621873649492076;0.9979818720146221;0.7417136224178743;0.9281203570321108;128;64;0.8090000152587891
14;32;5;64;5;256;5;0.7523760061927129;0.8792655287252225;0.9008049391246716;0.7878401453602162;64;128;0.7957000136375427
15;32;3;64;5;256;3;0.9769260716597804;0.9317549066265884;0.8904097956546383;0.8041456814457935;128;128;0.79339998960495
16;64;5;64;5;128;5;0.9177219188273787;0.9722525983070454;0.9278489900723764;0.8442204685718548;128;128;0.8105999827384949
17;32;5;128;3;128;5;0.7937138997158925;0.8244214423052366;0.7293690557697686;0.8251356239206167;64;64;0.8113999962806702
